Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Pred_Loan_Status,Target_Loan_Status,Pred_True_Pos,Pred_True_Neg,Pred_False_Pos,Pred_False_Neg,Scatterplot_X,Scatterplot_Y
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,Y,True,False,False,False,5.0627356,2.8163097
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,1.1469629,-3.0437336
LP001972,Male,Yes,,Not Graduate,No,2875,1750.0,105.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,5.1764593,0.53992915
LP002874,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.3227825,16.311182
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,Y,N,False,False,True,False,10.516582,-3.6172156
LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218.0,360.0,0.0,Rural,Y,N,False,False,True,False,7.116271,-1.143201
LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,Y,N,False,False,True,False,9.932244,15.795142
LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,Y,Y,True,False,False,False,8.591244,14.993416
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,3.8588185,0.16811
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,Y,N,False,False,True,False,5.8561864,2.9778955
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.745702,15.696588
LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,Y,Y,True,False,False,False,6.3562517,0.52608716
LP002050,Male,Yes,1,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,Y,N,False,False,True,False,9.04238,0.47018188
LP002777,Male,Yes,0,Graduate,No,2785,2016.0,110.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.808869,-5.1177926
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.482172,16.286493
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,4.808858,0.68138087
LP001091,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,1.0,Urban,Y,N,False,False,True,False,9.603836,1.6264609
LP002841,Male,Yes,0,Graduate,No,3166,2064.0,104.0,360.0,0.0,Urban,Y,N,False,False,True,False,9.620989,16.214838
LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,Y,N,False,False,True,False,11.507211,-5.1359577
LP002776,Female,No,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,1.6772075,-3.2109606
LP002444,Male,No,1,Not Graduate,Yes,2769,1542.0,190.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,5.558923,0.38890406
LP001708,Female,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,1.6410077,-3.1367152
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,Y,N,False,False,True,False,6.409582,1.3654047
LP002684,Female,No,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,Y,N,False,False,True,False,6.1870794,-1.0491276
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.10162,16.059126
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,Y,N,False,False,True,False,7.6150837,-0.23353384
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,Y,N,False,False,True,False,9.082797,16.185865
LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.38357,1.4065316
LP002911,Male,Yes,1,Graduate,No,2787,1917.0,146.0,360.0,0.0,Rural,Y,N,False,False,True,False,8.982801,0.69694465
LP002892,Male,Yes,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,3.525899,-0.24631144
LP001536,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y,Y,True,False,False,False,-8.781411,5.01843
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,1.2228284,-1.0654372
LP002778,Male,Yes,2,Graduate,Yes,6633,0.0,128.0,360.0,0.0,Rural,Y,N,False,False,True,False,8.459155,-0.09652176
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,Y,Y,True,False,False,False,6.0456843,-1.0125258
LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,Y,Y,True,False,False,False,5.1970468,2.7094717
LP002231,Female,No,0,Graduate,No,6000,0.0,156.0,360.0,1.0,Urban,Y,Y,True,False,False,False,8.462692,13.350112
LP001087,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,1.7009231,-2.576326
LP002531,Male,Yes,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,1.0351496,-1.1946552
LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,Y,N,False,False,True,False,8.565091,14.98817
LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,Y,N,False,False,True,False,6.4805303,1.2854317
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,360.0,0.0,Urban,Y,N,False,False,True,False,6.716265,1.0123081
LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.654633,16.147982
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,5.48174,-0.13831048
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,Y,N,False,False,True,False,8.447095,-0.18785025
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,Y,N,False,False,True,False,-8.73622,4.959233
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,128.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,0.9102418,-1.1642158
LP002622,Male,Yes,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,Y,Y,True,False,False,False,8.430706,-0.16788375
LP001213,Male,Yes,1,Graduate,No,4945,0.0,128.0,360.0,0.0,Rural,Y,N,False,False,True,False,9.005819,0.49934348
LP002277,Female,No,0,Graduate,No,3180,0.0,71.0,360.0,0.0,Urban,Y,N,False,False,True,False,8.570044,13.385723
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.560107,4.673706
LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,Y,N,False,False,True,False,9.812644,15.557929
LP002868,Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,Y,Y,True,False,False,False,4.959294,2.8019183
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,-8.82028,5.0156846
LP002840,Female,No,0,Graduate,No,2378,0.0,9.0,360.0,1.0,Urban,Y,N,False,False,True,False,8.685527,13.343055
LP001357,Male,,,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,N,Y,False,False,False,True,9.2318,14.900086
LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-10.436089,6.055231
LP002842,Male,Yes,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.588966,1.4927702
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,3.576711,0.19877364
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,Y,True,False,False,False,6.574508,1.354184
LP001922,Male,Yes,0,Graduate,No,20667,0.0,128.0,360.0,1.0,Rural,Y,N,False,False,True,False,11.846542,-5.1741214
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,-8.705219,4.9955626
LP002379,Male,No,0,Graduate,No,6500,0.0,105.0,360.0,0.0,Rural,Y,N,False,False,True,False,11.654956,-5.1530614
LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,5.5000234,-0.1269945
LP002190,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,1.2123468,-1.2955328
LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.207892,5.5633883
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y,Y,True,False,False,False,8.352417,0.03178916
LP002522,Female,No,0,Graduate,Yes,2500,0.0,93.0,360.0,1.0,Urban,Y,Y,True,False,False,False,8.724933,13.279907
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,4.8646107,0.6442679
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,1.0,Rural,Y,N,False,False,True,False,10.903296,-5.813525
LP001546,Male,No,0,Graduate,,2980,2083.0,120.0,360.0,1.0,Rural,Y,Y,True,False,False,False,10.935734,-5.4006543
LP001914,Male,Yes,0,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.547109,4.811899
LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,0.8924451,-1.4015678
LP002940,Male,No,0,Not Graduate,No,3833,0.0,110.0,360.0,1.0,Rural,Y,Y,True,False,False,False,6.842556,-1.0054803
LP001644,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.040782,-4.939212
LP001865,Male,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.523763,1.427355
LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,Y,N,False,False,True,False,7.6779156,-0.25790837
LP002366,Male,Yes,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.549175,-5.154932
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,5.0314784,0.36047637
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,5.5187917,-0.12703846
LP002337,Female,No,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,Y,Y,True,False,False,False,8.51562,13.375529
LP001790,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y,Y,True,False,False,False,10.065261,-3.5501282
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,Y,N,False,False,True,False,6.5734997,1.3294501
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.844421,-5.208227
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y,Y,True,False,False,False,8.783634,0.5323234
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,Y,True,False,False,False,8.903261,16.197344
LP002284,Male,No,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,Y,Y,True,False,False,False,6.801419,-1.0220042
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.517887,16.141018
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,Y,N,False,False,True,False,11.668917,-5.1278276
LP001768,Male,Yes,0,Graduate,,3716,0.0,42.0,180.0,1.0,Rural,Y,Y,True,False,False,False,11.244124,-5.291232
LP002006,Female,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,Y,Y,True,False,False,False,10.557868,-3.688759
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y,Y,True,False,False,False,0.91395974,-1.1636969
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,Y,True,False,False,False,5.188854,2.737895
LP002101,Male,Yes,0,Graduate,,63337,0.0,490.0,180.0,1.0,Urban,Y,Y,True,False,False,False,8.892978,15.896221
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,-9.510146,4.755487
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.350079,5.829333
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,3.6589475,0.16113308
LP002537,Male,Yes,0,Graduate,No,2083,3150.0,128.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.324761,5.6467786
LP002493,Male,No,0,Graduate,No,4166,0.0,98.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,-9.280809,5.5730343
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,Y,N,False,False,True,False,11.561055,-5.0811586
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,5.282916,0.44110385
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,Y,N,False,False,True,False,7.620717,-0.30455488
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,1.576309,-3.253202
LP001935,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.52294,-5.198623
LP002706,Male,Yes,1,Not Graduate,No,5285,1430.0,161.0,360.0,0.0,Semiurban,Y,Y,True,False,False,False,5.539717,0.66289204
LP002862,Male,Yes,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,Y,N,False,False,True,False,4.873447,0.6825689
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.776616,-5.20187
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.819018,-5.2724714
LP002319,Male,Yes,0,Graduate,,6256,0.0,160.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.034248,16.253399
LP002699,Male,Yes,2,Graduate,Yes,17500,0.0,400.0,360.0,1.0,Rural,Y,Y,True,False,False,False,8.513379,-0.2628294
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,1.1629182,-1.3521655
LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.540098,16.184986
LP002555,Male,Yes,2,Graduate,Yes,4583,2083.0,160.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,3.6163251,0.17667966
LP002367,Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,N,N,False,True,False,False,6.2444816,-1.0265626
LP002949,Female,No,3+,Graduate,,416,41667.0,350.0,180.0,1.0,Urban,Y,N,False,False,True,False,8.435276,13.627169
LP002234,Male,No,0,Graduate,Yes,7167,0.0,128.0,360.0,1.0,Urban,Y,Y,True,False,False,False,8.935486,16.180456
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y,Y,True,False,False,False,9.176433,1.4416572
LP001875,Male,No,0,Graduate,No,4095,3447.0,151.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.044558,-5.2163196
LP001673,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,Y,N,False,False,True,False,9.539905,16.253998
LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.420063,-5.173141
LP002732,Male,No,0,Not Graduate,,2550,2042.0,126.0,360.0,1.0,Rural,Y,Y,True,False,False,False,6.8354597,-0.9967712
LP002502,Female,Yes,2,Not Graduate,,210,2917.0,98.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,5.0575914,-0.8295076
LP002894,Female,Yes,0,Graduate,No,3166,0.0,36.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,1.74667,-3.5031903
LP001938,Male,Yes,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,3.7468948,0.15266795
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,Y,N,False,False,True,False,9.294465,16.314945
